Trip,Survey,Site,Block,Treatment,Quadrat,Dist_from_edge,Litter,Substrate,Bermuda,Other_pants,Total,grass_prc_cover,total_plant_prc_cover,leaf_prc_cover,bare_prc_cover,grass_prc_cover_mean,other_prc_cover_mean
1,Ladder,Beach,2,Sargassum,1.5,1.5,8,84,0,8,100,0,8,8,84,0,25
1,Ladder,Beach,2,Sargassum,1.5,1.5,28,30,0,42,100,0,42,28,30,,
1,Ladder,Beach,3,Sargassum,1.5,1.5,5,84,0,11,100,0,11,5,84,1,12
1,Ladder,Beach,3,Sargassum,1.5,1.5,19,66,2,13,100,2,15,19,66,,
1,Ladder,Beach,4,Sargassum,1.5,1.5,1,99,0,0,100,0,0,1,99,8.5,2
1,Ladder,Beach,4,Sargassum,1.5,1.5,2,77,17,4,100,17,21,2,77,,
1,Ladder,Beach,5,Sargassum,1.5,1.5,30,30,40,1,101,40,41,30,30,22,2
1,Ladder,Beach,5,Sargassum,1.5,1.5,23,70,4,3,100,4,7,23,70,,
1,Ladder,Forest,1,Sargassum,1.5,1.5,5,71,24,0,100,24,24,5,71,12,1.5
1,Ladder,Forest,1,Sargassum,1.5,1.5,15,82,0,3,100,0,3,15,82,,
1,Ladder,Forest,2,Sargassum,1.5,1.5,9,76,15,0,100,15,15,9,76,37.5,3
1,Ladder,Forest,2,Sargassum,1.5,1.5,9,25,60,6,100,60,66,9,25,,
1,Ladder,Forest,3,Sargassum,1.5,1.5,0,81,19,0,100,19,19,0,81,33.5,0
1,Ladder,Forest,3,Sargassum,1.5,1.5,1,51,48,0,100,48,48,1,51,,
1,Ladder,Forest,4,Sargassum,1.5,1.5,10,67,23,0,100,23,23,10,67,37.5,0
1,Ladder,Forest,4,Sargassum,1.5,1.5,22,25,52,0,99,53,53,22,25,,
1,Ladder,Forest,5,Sargassum,1.5,1.5,0,87,13,0,100,13,13,0,87,7,20.5
1,Ladder,Forest,5,Sargassum,1.5,1.5,10,48,1,41,100,1,42,10,48,,
2,Ladder,Beach,1,Sargassum,1.5,1.27,33,32,10,25,100,10,35,33,32,22.5,12.5
2,Ladder,Beach,1,Sargassum,1.5,1.27,6,59,35,0,100,35,35,6,59,,
2,Ladder,Beach,2,Sargassum,1.5,1.27,1,78,15,6,100,15,21,1,78,7.5,3
2,Ladder,Beach,2,Sargassum,1.5,1.27,0,100,0,0,100,0,0,0,100,,
2,Ladder,Beach,3,Sargassum,1.5,1.27,35,61,4,0,100,4,4,35,61,15,1.5
2,Ladder,Beach,3,Sargassum,1.5,1.27,19,51,26,3,99,26,29,19,52,,
2,Ladder,Beach,4,Sargassum,1.5,1.27,10,90,0,0,100,0,0,10,90,22.5,0
2,Ladder,Beach,4,Sargassum,1.5,1.27,21,34,45,0,100,45,45,21,34,,
2,Ladder,Beach,5,Sargassum,1.5,1.27,1,99,0,0,100,0,0,1,99,28.5,5.5
2,Ladder,Beach,5,Sargassum,1.5,1.27,18,16,57,11,102,56,67,18,16,,
2,Ladder,Forest,1,Sargassum,1.5,1.37,36,61,0,2,99,0,2,36,62,0.5,1
2,Ladder,Forest,1,Sargassum,1.5,1.37,11,89,1,0,101,1,1,11,88,,
2,Ladder,Forest,2,Sargassum,1.5,1.37,41,33,0,26,100,0,26,41,33,0,37.5
2,Ladder,Forest,2,Sargassum,1.5,1.37,39,13,0,49,101,0,49,39,13,,
2,Ladder,Forest,3,Sargassum,1.5,1.37,37,47,0,17,101,0,17,37,47,0,15
2,Ladder,Forest,3,Sargassum,1.5,1.37,60,27,0,13,100,0,13,60,27,,
2,Ladder,Forest,4,Sargassum,1.5,1.37,93,6,0,1,100,0,1,93,6,0,2
2,Ladder,Forest,4,Sargassum,1.5,1.37,88,10,0,3,101,0,3,87,10,,
2,Ladder,Forest,5,Sargassum,1.5,1.37,67,31,0,2,100,0,2,67,31,0,1
2,Ladder,Forest,5,Sargassum,1.5,1.37,100,0,0,0,100,0,0,100,0,,
3,Ladder,Beach,1,Sargassum,1.5,1.07,82,5,0,12,99,0,12,83,5,0,6
3,Ladder,Beach,1,Sargassum,1.5,1.07,98,2,0,0,100,0,0,98,2,,
3,Ladder,Beach,2,Sargassum,1.5,1.07,40,37,0,23,100,0,23,40,37,0,19
3,Ladder,Beach,2,Sargassum,1.5,1.07,42,44,0,15,101,0,15,42,44,,
3,Ladder,Beach,3,Sargassum,1.5,1.07,60,9,0,31,100,0,31,60,9,0,15.5
3,Ladder,Beach,3,Sargassum,1.5,1.07,24,76,0,0,100,0,0,24,76,,
3,Ladder,Beach,4,Sargassum,1.5,1.07,82,6,0,11,99,0,11,83,6,0,9
3,Ladder,Beach,4,Sargassum,1.5,1.07,85,8,0,7,100,0,7,85,8,,
3,Ladder,Beach,5,Sargassum,1.5,1.07,69,17,0,14,100,0,14,69,17,0,22.5
3,Ladder,Beach,5,Sargassum,1.5,1.07,20,49,0,31,100,0,31,20,49,,
3,Ladder,Forest,1,Sargassum,1.5,1.18,35,43,0,21,99,0,21,35,43,0,13.5
3,Ladder,Forest,1,Sargassum,1.5,1.18,93,1,0,6,100,0,6,93,1,,
3,Ladder,Forest,2,Sargassum,1.5,1.18,26,65,0,7,98,0,7,27,66,0,7.5
3,Ladder,Forest,2,Sargassum,1.5,1.18,63,27,0,8,98,0,8,64,28,,
3,Ladder,Forest,3,Sargassum,1.5,1.18,78,21,0,1,100,0,1,78,21,0,2.5
3,Ladder,Forest,3,Sargassum,1.5,1.18,88,8,0,4,100,0,4,88,8,,
3,Ladder,Forest,4,Sargassum,1.5,1.18,86,1,0,13,100,0,13,86,1,0,9
3,Ladder,Forest,4,Sargassum,1.5,1.18,87,7,0,5,99,0,5,88,7,,
3,Ladder,Forest,5,Sargassum,1.5,1.18,86,2,0,12,100,0,12,86,2,0,7
3,Ladder,Forest,5,Sargassum,1.5,1.18,89,9,0,2,100,0,2,89,9,,
